Particulars, Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Total Capital and Liabilities ( 1.1 to 1.7),,,,,,,,,,,,,,,,,,,,,,,,,"46,536,111","45,624,131","46,522,703","46,473,372","51,478,358","56,103,500","54,990,884","56,380,675","60,544,295","61,392,139","67,698,690","74,385,018","80,467,817","84,701,623","90,811,305","90,383,469",,"120,468,658",,152371504,213611661.0,,"213,611,661",,,,,,,,,,,,,,,,,,,,,
Paid Up Capital,,,,,,,,,,,,,,,,,,,,,,,,,"2,311,552","2,311,552","2,311,552","2,311,552","2,311,552","2,658,285","2,658,285","2,658,285","2,658,285","2,658,285","3,695,016","3,695,016","4,575,374","5,819,650","5,819,650","6,357,991",,"8,031,117",,8031117,8834229.0,,"8,834,229",,,,,,,,,,,,,,,,,,,,,
Reserve and Surplus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,575,362","2,789,506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debenture and Bond,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,"500,000","500,000","500,000","500,000",,,,,"500,000","500,000","500,000",,"500,000",,,,,,,,,,,,,,,,,,,,,,,,,,
Borrowings,,,,,,,,,,,,,,,,,,,,,,,,,"184,897","196,100","196,800",-,-,"2,450,000",-,-,-,-,"1,400,000","2,200,000","1,850,000","2,400,000","1,550,000",-,,"4,416,130",,12500,10149433.0,,"10,149,433",,,,,,,,,,,,,,,,,,,,,
Deposits,,,,,,,,,,,,,,,,,,,,,,,,,"39,908,774","37,855,785","38,441,092","40,569,954","44,982,855","46,884,946","48,092,210","49,235,425","53,477,184","53,848,168","58,318,343","64,146,038","69,487,997","72,478,708","79,071,616","78,994,431",,"103,647,682",,133703712,175764356.0,,"175,764,356",,,,,,,,,,,,,,,,,,,,,
Domestic Currency,,,,,,,,,,,,,,,,,,,,,,,,,"38,791,852","36,452,121","36,714,094","39,324,425","43,583,058","45,366,217","46,697,708","47,935,495","52,181,479","52,334,710","55,663,424","62,025,046","67,570,573","70,835,152","76,914,599","77,300,686",,"102,006,689",,128778324,,,,,,,,,,,,,,,,,,,,,,,,
Foreign Currency,,,,,,,,,,,,,,,,,,,,,,,,,"1,116,923","1,403,664","1,726,998","1,245,528","1,399,797","1,518,729","1,394,502","1,299,930","1,295,705","1,513,458","2,654,919","2,120,993","1,917,424","1,643,556","2,157,017","1,693,746",,"1,640,992",,4925388,,,,,,,,,,,,,,,,,,,,,,,,
Income Tax Liability,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,,,"10,532","79,910","73,541","23,208",0,"97,068","30,404",-,,"185,800",,399483,,,,,,,,,,,,,,,,,,,,,,,,
Other Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,"1,586,173","2,216,796","2,292,676","887,932","792,622","1,241,260","1,165,027","1,197,460","991,073","1,231,086","1,405,960","1,257,456","1,180,586","1,218,598","1,191,679","1,465,779",,"1,325,869",,3701160,,,,,,,,,,,,,,,,,,,,,,,,
